Player,Earnings
bang,36327
Boostio,255267
C0M,256825
crashies,192650
Cryocells,56000
Demon1,248067
Ethan,288224
jakee,10212
leaf,47560
neT,40184
OXY,8975
ScrewFace,5534
tex,35275
trent,34470
valyn,38563
vanity,53025
Victor,191650
Xeppaa,42459
zekken,58431
Artzin,7570
aspas,188247
cauanzin,98935
frz,26542
havoc,13040
Jzz,3422
Khalil,28377
kon4n,12526
Less,184443
liazzi,16994
Mazin,21489
mwzera,28415
pANcada,104349
qck,24833
RgLM,6465
Sacy,124656
tuyz,94877
keznit,56529
kiNgg,45418
Mazino,65329
Melser,40284
mta,2065
Shyy,31209
eeiu,27648
JonahP,35895
Marved,150550
TenZ,102517
Klaus,60353
Nozwerr,37424
Saadhak,209432
jawgemo,260897
johnqt,26887
wippie,15600
AAK,1222
Biank,11188
CHICHOO,41636
FengF,3988
Flex1n,3351
Haodong,42080
ICE,1373
Kai,3181
Knight,12646
LuoK1ng,1116
Lysoar,6852
Ninebody,2333
nobody,44261
rin,11252
slowly,
Smoggy,41618
TZH,7969
whzy,13301
yosemite,12571
ZmjjKK,44451
HeiB,7432
YoU,7746
Autumn,
BerLIN,14726
ATA KAPTAN,30831
Brave,12695
cNed,143536
Elite,1910
MrFaliN,42013
pAura,36046
qRaxs,52797
QutionerX,8348
reazy,2992
RieNs,5011
yetujey,9398
beyAz,12975
Enzo,59924
logaN,22210
nataNk,17082
Shin,7690
TakaS,21504
Wailers,9266
Chronicle,236730
Cloud,25267
nAts,143801
Redgar,139947
Sheydos,109933
trexx,18878
Boo,15975
ceNder,22784
Destrian,17778
MiniBoo,3021
nukkye,70051
benjyfishy,2766
Boaster,212650
Keiko,11341
Mistic,95145
Derke,209076
hoody,37545
Jamppi,103906
Leo,156585
Sayf,62893
Zyppan,113626
Magnum,52281
marteen,3731
Shao,114007
SUYGETSU,108296
paTiTek,33769
starxo,110637
Fit1nho,24338
koldamenta,53149
Wolfen,5498
Kicks,6092
ardiis,140715
runneR,5303
tomaszy,7024
ANGE1,113997
N4RRATE,350
BuZz,113556
Carpe,21260
Estrella,12646
Flashback,1483
Foxy9,21033
iZu,4378
JoXJo,12488
Karon,1112
Lakia,52999
MaKo,108433
Meteor,15684
Munchkin,42009
Sayaplayer,39810
stax,137971
Suggest,27952
t3xture,14665
blaZek1ng,26324
f0rsakeN,199901
fl1pzjder,18314
Lmemore,11845
mindfreak,12686
Monyet,12314
xccurate,2262
xffero,18390
Dep,35894
hiroronn,4248
Laz,68078
Meiy,10099
neth,24270
popogachi,6686
SugarZ3ro,32308
Yuran,77
BORKUM,30628
invy,9300
JessieVash,30676
Jremy,10204
NDG,4320
Benkai,92334
Deryeon,25231
Egoist,6989
lenne,11729
Crws,49880
JitboyS,9343
sScary,58009
Governor,13897
Rossy,11000
yay,144500
Jemkin,9309
something,98138
Polvi,8187
Lightningfast,23771
d4v41,199834
Russ,20579
crazyguy,22053
